Pcr,Stock,Name,종가,시가,고가,저가,대용가,거래량,거래대금,PER,PSR,PBR,PCR,P/EBITDAPS,Dividend Yield,Volatility
1471,33780,(주)케이티앤지,96300.00 ,100500.00 ,100500.00 ,96300.00 ,79520.00 ,745547.00 ,72965294414.00 ,12.47 ,4.05 ,1.86 ,11.03 ,9.03 ,3.82 ,21.57 
64847,32640,(주)LG유플러스,16800.00 ,17250.00 ,17250.00 ,16500.00 ,13140.00 ,1844022.00 ,31161086950.00 ,12.86 ,0.60 ,1.69 ,3.22 ,2.90 ,2.38 ,33.35 
86512,69960,(주)현대백화점,91000.00 ,88500.00 ,91800.00 ,88500.00 ,68710.00 ,89791.00 ,8145078700.00 ,1.02 ,0.15 ,0.06 ,0.70 ,0.57 ,8.47 ,30.84 
88102,20000,(주)한섬,34650.00 ,35400.00 ,36350.00 ,34600.00 ,25300.00 ,106143.00 ,3739379150.00 ,13.95 ,0.99 ,0.93 ,17.05 ,8.38 ,0.90 ,36.97 
162210,51900,(주)LG생활건강,1112000.00 ,1048000.00 ,1125000.00 ,1047000.00 ,816660.00 ,67214.00 ,73681827000.00 ,31.29 ,4.92 ,8.92 ,25.11 ,24.63 ,0.76 ,35.95 
163890,86280,현대글로비스(주),111000.00 ,109000.00 ,111500.00 ,109000.00 ,86190.00 ,88824.00 ,9780262000.00 ,6.56 ,0.32 ,1.18 ,7.18 ,6.12 ,2.70 ,34.82 
170258,57050,(주)현대홈쇼핑,104000.00 ,105500.00 ,105500.00 ,102500.00 ,81900.00 ,21420.00 ,2229057000.00 ,13.84 ,1.19 ,0.91 ,16.50 ,7.59 ,1.59 ,22.41 
208389,69260,티케이지휴켐스(주),23200.00 ,23250.00 ,23450.00 ,23000.00 ,16660.00 ,86984.00 ,2014862550.00 ,7.45 ,1.28 ,1.62 ,5.59 ,4.95 ,6.06 ,31.18 
251763,68270,(주)셀트리온,274500.00 ,271500.00 ,277500.00 ,268500.00 ,195480.00 ,907869.00 ,2.49E+11,83.16 ,40.44 ,20.64 ,64.00 ,55.39 ,0.01 ,60.42 
310123,4370,(주)농심,222000.00 ,221500.00 ,223500.00 ,219000.00 ,168720.00 ,27333.00 ,6054738000.00 ,15.97 ,0.69 ,0.74 ,15.43 ,9.36 ,1.71 ,23.72 
310140,3230,삼양식품(주),65800.00 ,61600.00 ,66100.00 ,61600.00 ,46760.00 ,59698.00 ,3866292900.00 ,18.39 ,1.09 ,2.60 ,11.58 ,10.63 ,0.38 ,50.46 
310301,7310,(주)오뚜기,667000.00 ,670000.00 ,680000.00 ,665000.00 ,495800.00 ,5027.00 ,3362652000.00 ,21.56 ,1.10 ,2.40 ,25.00 ,13.32 ,1.03 ,27.35 
350338,4000,롯데정밀화학(주),47300.00 ,46300.00 ,47750.00 ,46300.00 ,35180.00 ,89820.00 ,4235441000.00 ,17.28 ,1.04 ,1.09 ,6.31 ,6.42 ,1.67 ,42.25 
350354,990,(주)DB하이텍,13800.00 ,13100.00 ,13900.00 ,13050.00 ,9990.00 ,306748.00 ,4187521100.00 ,8.03 ,0.88 ,1.48 ,3.27 ,2.81 ,1.76 ,44.19 
350559,5250,(주)녹십자홀딩스,24150.00 ,23400.00 ,24300.00 ,23150.00 ,16880.00 ,105794.00 ,2524973300.00 ,53.31 ,9.93 ,2.04 ,17.76 ,35.31 ,1.19 ,34.95 
350893,880,(주)한화,29100.00 ,28300.00 ,29250.00 ,28300.00 ,22540.00 ,408289.00 ,11820602250.00 ,13.88 ,0.58 ,0.92 ,3.56 ,7.81 ,1.90 ,30.19 
351113,14680,(주)한솔케미칼,75500.00 ,72600.00 ,76500.00 ,71200.00 ,56390.00 ,56502.00 ,4223265500.00 ,18.28 ,2.45 ,2.91 ,13.09 ,10.47 ,1.30 ,30.41 
351350,11780,금호석유화학(주),85100.00 ,80300.00 ,85400.00 ,80300.00 ,60380.00 ,165410.00 ,13849174200.00 ,17.56 ,0.60 ,2.08 ,6.70 ,6.65 ,0.93 ,43.49 
355399,6280,(주)녹십자,148000.00 ,143000.00 ,149000.00 ,143000.00 ,103680.00 ,56150.00 ,8226976500.00 ,30.85 ,1.54 ,1.80 ,36.37 ,15.36 ,0.82 ,38.55 
361267,26960,(주)동서,19850.00 ,20400.00 ,20400.00 ,19800.00 ,15910.00 ,155313.00 ,3099675250.00 ,16.11 ,3.91 ,1.62 ,20.53 ,54.12 ,3.50 ,19.97 
370380,10130,고려아연(주),394000.00 ,392500.00 ,394500.00 ,388000.00 ,306150.00 ,42547.00 ,16632124500.00 ,13.12 ,1.28 ,1.30 ,10.29 ,7.34 ,2.38 ,27.81 
380130,12330,현대모비스(주),195500.00 ,197000.00 ,197500.00 ,191500.00 ,148580.00 ,244661.00 ,47428382000.00 ,12.97 ,0.95 ,0.93 ,10.42 ,10.32 ,1.74 ,30.90 
380687,11070,엘지이노텍(주),121500.00 ,116500.00 ,123500.00 ,116500.00 ,87320.00 ,247837.00 ,30131017000.00 ,15.94 ,0.40 ,1.88 ,5.90 ,5.03 ,0.21 ,43.65 
380725,5930,삼성전자(주),44000.00 ,43200.00 ,44650.00 ,43200.00 ,33610.00 ,12640906.00 ,5.56E+11,10.53 ,1.91 ,2.18 ,6.91 ,6.66 ,0.91 ,27.20 
380911,270,기아(주),33250.00 ,33100.00 ,33600.00 ,32600.00 ,25810.00 ,1123867.00 ,37142847500.00 ,12.78 ,0.42 ,0.65 ,4.42 ,6.88 ,2.38 ,24.34 
380954,5380,현대자동차(주),115500.00 ,115500.00 ,118000.00 ,114500.00 ,90480.00 ,672541.00 ,77931654500.00 ,12.19 ,0.76 ,0.65 ,5.28 ,7.04 ,2.44 ,27.28 
383511,660,에스케이하이닉스(주),72400.00 ,69200.00 ,73200.00 ,69200.00 ,52440.00 ,4882184.00 ,3.51E+11,5.06 ,1.72 ,1.71 ,3.77 ,2.92 ,1.34 ,35.33 
387586,90430,(주)아모레퍼시픽,207500.00 ,197500.00 ,209500.00 ,197500.00 ,154050.00 ,248467.00 ,50993261500.00 ,45.05 ,3.95 ,3.73 ,34.10 ,23.15 ,0.62 ,37.42 
